,customer_id,recency,frequency,monetary_value,R,F,M,rfm_score,RFM_level
53,68,85,3,5127.98,2,1,2,5,Promising
54,69,21,6,8395.75,3,3,4,10,Highly potential
55,70,5,5,4801.11,4,2,2,8,Require Activation
56,71,132,1,1415.01,1,1,1,3,Require Activation
57,72,23,4,4048.85,3,1,1,5,Promising
58,73,169,6,5265.87,1,3,2,6,Loyal
59,75,61,8,7130.63,2,4,3,9,Highly potential
60,76,2,8,7425.04,4,4,3,11,Highly potential
61,77,102,3,2964.73,1,1,1,3,Require Activation
62,78,212,2,1139.12,1,1,1,3,Require Activation
63,79,48,5,4918.51,2,2,2,6,Loyal
64,80,29,10,12564.820000000002,3,4,4,11,Highly potential
65,82,79,5,5293.91,2,2,2,6,Loyal
66,83,81,6,4464.650000000001,2,3,2,7,Require Activation
67,84,29,7,5464.65,3,3,2,8,Require Activation
68,85,38,6,3158.6299999999997,3,3,1,7,Require Activation
69,86,1,9,7319.349999999999,4,4,3,11,Highly potential
70,87,19,9,7994.73,4,4,3,11,Highly potential
71,88,75,6,5550.83,2,3,2,7,Require Activation
72,89,5,9,12741.44,4,4,4,12,Highly potential
73,90,31,7,7703.580000000001,3,3,3,9,Highly potential
74,91,10,8,8066.4400000000005,4,4,4,12,Highly potential
75,92,35,3,5098.43,3,1,2,6,Loyal
76,93,80,3,5276.13,2,1,2,5,Promising
77,94,34,7,8305.77,3,3,4,10,Highly potential
78,95,39,4,5049.799999999999,3,1,2,6,Loyal
79,96,71,3,2783.33,2,1,1,4,Needs Attention
80,97,103,8,8895.95,1,4,4,9,Highly potential
81,98,142,4,5405.52,1,1,2,4,Needs Attention
82,99,3,9,8279.06,4,4,4,12,Highly potential
83,100,12,2,2748.2,4,1,1,6,Loyal
84,101,9,4,4309.82,4,1,2,7,Require Activation
85,102,43,7,6659.219999999999,3,3,3,9,Highly potential
86,103,117,4,4838.35,1,1,2,4,Needs Attention
87,104,65,7,6361.89,2,3,3,8,Require Activation
88,105,90,4,6234.35,1,1,3,5,Promising
89,107,82,4,3345.1000000000004,2,1,1,4,Needs Attention
90,109,9,10,10661.51,4,4,4,12,Highly potential
91,111,148,4,4873.0599999999995,1,1,2,4,Needs Attention
92,112,48,6,9059.890000000001,2,3,4,9,Highly potential
93,113,176,6,5412.969999999999,1,3,2,6,Loyal
94,114,71,4,3233.0,2,1,1,4,Needs Attention
95,115,15,8,8398.18,4,4,4,12,Highly potential
96,116,13,8,5663.920000000001,4,4,2,10,Highly potential
97,117,6,10,12856.83,4,4,4,12,Highly potential
98,118,70,5,5319.51,2,2,2,6,Loyal
99,119,31,4,5217.66,3,1,2,6,Loyal
100,120,130,2,2173.3,1,1,1,3,Require Activation
101,121,112,4,4327.4400000000005,1,1,2,4,Needs Attention
102,122,9,5,6533.39,4,2,3,9,Highly potential
103,123,192,4,5337.790000000001,1,1,2,4,Needs Attention
104,124,3,7,8272.15,4,3,4,11,Highly potential
105,125,84,10,7107.32,2,4,3,9,Highly potential
106,126,12,3,3448.12,4,1,1,6,Loyal
107,127,24,10,9949.619999999999,3,4,4,11,Highly potential
108,128,138,4,3679.75,1,1,1,3,Require Activation
109,129,179,4,4090.48,1,1,1,3,Require Activation
110,130,77,2,3340.42,2,1,1,4,Needs Attention
111,131,206,6,8745.28,1,3,4,8,Require Activation
112,132,8,6,7365.93,4,3,3,10,Highly potential
113,133,27,5,3164.55,3,2,1,6,Loyal
114,134,15,6,7170.95,4,3,3,10,Highly potential
115,135,116,7,6860.460000000001,1,3,3,7,Require Activation
116,136,21,8,9406.85,3,4,4,11,Highly potential
117,137,28,5,3507.0499999999997,3,2,1,6,Loyal
118,138,65,7,4927.349999999999,2,3,2,7,Require Activation
119,140,4,6,7649.339999999999,4,3,3,10,Highly potential
120,141,160,3,4053.9800000000005,1,1,1,3,Require Activation
121,142,5,11,12474.740000000002,4,4,4,12,Highly potential
122,143,14,4,4689.21,4,1,2,7,Require Activation
123,145,29,7,8149.189999999999,3,3,4,10,Highly potential
124,146,195,2,1973.29,1,1,1,3,Require Activation
125,147,35,6,8079.089999999999,3,3,4,10,Highly potential
126,148,44,5,5808.83,3,2,2,7,Require Activation
127,149,19,4,4945.6900000000005,4,1,2,7,Require Activation
128,150,76,4,3630.96,2,1,1,4,Needs Attention
129,151,1,7,11422.85,4,3,4,11,Highly potential
130,152,159,2,2941.37,1,1,1,3,Require Activation
131,153,65,7,7808.16,2,3,3,8,Require Activation
132,154,24,5,3521.53,3,2,1,6,Loyal
133,155,9,3,4008.51,4,1,1,6,Loyal
134,156,17,5,4831.579999999999,4,2,2,8,Require Activation
135,157,136,3,1748.4899999999998,1,1,1,3,Require Activation
136,158,66,6,7221.049999999999,2,3,3,8,Require Activation
137,159,67,6,6016.320000000001,2,3,3,8,Require Activation
138,160,94,2,3024.58,1,1,1,3,Require Activation
139,162,99,3,3317.47,1,1,1,3,Require Activation
140,163,115,2,3089.24,1,1,1,3,Require Activation
141,164,199,3,2583.85,1,1,1,3,Require Activation
142,165,9,8,9603.13,4,4,4,12,Highly potential
143,166,64,7,8521.58,2,3,4,9,Highly potential
144,169,62,3,2065.08,2,1,1,4,Needs Attention
145,170,235,3,3684.75,1,1,1,3,Require Activation
146,171,19,8,9347.85,4,4,4,12,Highly potential
147,172,12,7,9250.22,4,3,4,11,Highly potential
148,173,16,9,14061.479999999998,4,4,4,12,Highly potential
149,174,12,10,12893.570000000002,4,4,4,12,Highly potential
150,175,65,5,6008.03,2,2,3,7,Require Activation
151,176,23,4,6146.7,3,1,3,7,Require Activation
152,177,38,12,11826.34,3,4,4,11,Highly potential
153,179,41,3,3168.84,3,1,1,5,Promising
154,180,12,7,7970.57,4,3,3,10,Highly potential
155,181,51,5,4262.27,2,2,2,6,Loyal
156,182,14,7,9279.01,4,3,4,11,Highly potential
157,183,103,6,5947.98,1,3,3,7,Require Activation
158,184,33,3,3734.88,3,1,1,5,Promising
159,186,24,6,5550.85,3,3,2,8,Require Activation
160,187,15,7,6898.790000000001,4,3,3,10,Highly potential
161,188,16,6,5126.07,4,3,2,9,Highly potential
162,189,4,5,8633.689999999999,4,2,4,10,Highly potential
163,190,30,4,3083.07,3,1,1,5,Promising
164,191,106,1,1065.03,1,1,1,3,Require Activation
165,192,80,4,3836.29,2,1,1,4,Needs Attention
166,193,25,5,7368.359999999999,3,2,3,8,Require Activation
167,194,109,3,4313.530000000001,1,1,2,4,Needs Attention
168,195,1,7,12479.459999999997,4,3,4,11,Highly potential
169,196,147,8,6346.610000000001,1,4,3,8,Require Activation
170,198,59,9,11648.85,2,4,4,10,Highly potential
171,199,16,4,4323.860000000001,4,1,2,7,Require Activation
172,200,8,9,11117.36,4,4,4,12,Highly potential
173,201,29,8,9167.380000000001,3,4,4,11,Highly potential
174,202,19,3,2511.82,4,1,1,6,Loyal
175,203,12,5,4376.259999999999,4,2,2,8,Require Activation
176,204,28,8,11444.0,3,4,4,11,Highly potential
177,205,53,9,6904.879999999999,2,4,3,9,Highly potential
178,206,78,4,5633.8099999999995,2,1,2,5,Promising
179,208,28,5,5158.98,3,2,2,7,Require Activation
180,209,108,5,6093.4800000000005,1,2,3,6,Loyal
181,210,23,6,8805.199999999999,3,3,4,10,Highly potential
182,212,188,2,2429.8,1,1,1,3,Require Activation
183,213,29,10,11681.589999999998,3,4,4,11,Highly potential
184,214,57,5,5776.950000000001,2,2,2,6,Loyal
185,215,4,8,8485.16,4,4,4,12,Highly potential
186,216,17,4,4801.610000000001,4,1,2,7,Require Activation
187,218,15,4,3125.6,4,1,1,6,Loyal
188,219,41,6,6156.27,3,3,3,9,Highly potential
189,220,16,6,7458.69,4,3,3,10,Highly potential
190,221,19,6,6729.84,4,3,3,10,Highly potential
191,222,21,2,2626.81,3,1,1,5,Promising
192,223,53,6,8743.94,2,3,4,9,Highly potential
193,224,2,6,6209.459999999999,4,3,3,10,Highly potential
194,225,38,3,2416.13,3,1,1,5,Promising
195,226,117,2,1639.95,1,1,1,3,Require Activation
196,227,27,5,5589.13,3,2,2,7,Require Activation
197,228,78,5,5178.17,2,2,2,6,Loyal
198,230,37,11,11755.6,3,4,4,11,Highly potential
199,231,46,4,5338.64,2,1,2,5,Promising
200,232,142,6,4132.44,1,3,2,6,Loyal
201,233,18,6,5218.620000000001,4,3,2,9,Highly potential
202,234,12,9,11070.19,4,4,4,12,Highly potential
203,235,3,11,9629.609999999999,4,4,4,12,Highly potential
204,236,7,4,5255.34,4,1,2,7,Require Activation
205,237,27,8,7156.79,3,4,3,10,Highly potential
206,238,108,5,5838.6,1,2,2,5,Promising
207,239,2,9,12986.130000000001,4,4,4,12,Highly potential
208,240,89,6,5689.530000000001,2,3,2,7,Require Activation
209,241,48,4,3855.87,2,1,1,4,Needs Attention
210,242,132,7,7798.25,1,3,3,7,Require Activation
211,243,75,5,6741.570000000001,2,2,3,7,Require Activation
212,245,13,5,4855.26,4,2,2,8,Require Activation
213,246,28,9,9724.98,3,4,4,11,Highly potential
214,247,113,7,9778.37,1,3,4,8,Require Activation
215,248,135,7,8902.16,1,3,4,8,Require Activation
216,249,48,9,6569.139999999999,2,4,3,9,Highly potential
217,252,63,5,5565.48,2,2,2,6,Loyal
218,253,18,5,2932.39,4,2,1,7,Require Activation
219,254,42,7,9801.07,3,3,4,10,Highly potential
220,255,58,11,14027.76,2,4,4,10,Highly potential
221,256,1,5,5861.16,4,2,2,8,Require Activation
222,258,19,5,4816.4,4,2,2,8,Require Activation
223,259,28,4,5329.9400000000005,3,1,2,6,Loyal
224,260,9,9,8587.0,4,4,4,12,Highly potential
225,261,51,9,9137.670000000002,2,4,4,10,Highly potential
226,263,47,7,7902.84,2,3,3,8,Require Activation
227,264,49,4,2339.86,2,1,1,4,Needs Attention
228,265,80,4,4809.139999999999,2,1,2,5,Promising
229,266,33,4,4191.43,3,1,2,6,Loyal
230,268,70,4,5104.56,2,1,2,5,Promising
231,269,169,5,5215.37,1,2,2,5,Promising
232,270,8,7,7413.61,4,3,3,10,Highly potential
233,271,203,2,2293.0200000000004,1,1,1,3,Require Activation
234,272,92,7,7345.169999999999,1,3,3,7,Require Activation
235,273,29,10,11372.240000000002,3,4,4,11,Highly potential
236,274,150,4,2597.6800000000003,1,1,1,3,Require Activation
237,277,22,3,3580.48,3,1,1,5,Promising
238,278,249,1,1228.07,1,1,1,3,Require Activation
239,279,15,6,3817.17,4,3,1,8,Require Activation
240,280,44,10,10822.28,3,4,4,11,Highly potential
241,281,10,4,3537.46,4,1,1,6,Loyal
242,282,70,2,2565.84,2,1,1,4,Needs Attention
243,283,92,5,7164.45,1,2,3,6,Loyal
244,284,134,5,5874.839999999999,1,2,2,5,Promising
245,285,8,6,6725.29,4,3,3,10,Highly potential
246,286,138,4,6402.06,1,1,3,5,Promising
247,287,139,1,2083.94,1,1,1,3,Require Activation
248,289,45,9,9320.12,3,4,4,11,Highly potential
249,291,41,2,983.55,3,1,1,5,Promising
250,292,59,7,8825.97,2,3,4,9,Highly potential
251,293,11,5,5175.56,4,2,2,8,Require Activation
252,294,116,7,8719.14,1,3,4,8,Require Activation
253,295,35,7,5956.460000000001,3,3,3,9,Highly potential
254,297,9,4,5674.71,4,1,2,7,Require Activation
255,298,9,9,10336.31,4,4,4,12,Highly potential
256,299,93,7,10296.119999999999,1,3,4,8,Require Activation
257,300,157,5,7003.74,1,2,3,6,Loyal
258,301,94,2,361.78,1,1,1,3,Require Activation
259,303,44,3,3874.1800000000003,3,1,1,5,Promising
260,304,81,9,7284.7,2,4,3,9,Highly potential
261,305,34,6,5206.259999999999,3,3,2,8,Require Activation
262,306,124,2,1362.46,1,1,1,3,Require Activation
263,307,16,9,9818.0,4,4,4,12,Highly potential
264,308,26,6,7432.0199999999995,3,3,3,9,Highly potential
265,309,10,4,5475.93,4,1,2,7,Require Activation
266,310,9,7,9065.04,4,3,4,11,Highly potential
267,311,62,6,7559.0599999999995,2,3,3,8,Require Activation
268,312,14,5,6921.420000000001,4,2,3,9,Highly potential
269,313,18,6,8979.0,4,3,4,11,Highly potential
270,314,21,8,6264.7300000000005,3,4,3,10,Highly potential
271,315,28,9,7677.51,3,4,3,10,Highly potential
272,316,12,4,3813.84,4,1,1,6,Loyal
273,317,81,4,5779.95,2,1,2,5,Promising
274,318,10,7,9276.070000000002,4,3,4,11,Highly potential
275,320,13,10,11721.06,4,4,4,12,Highly potential
276,321,13,5,5405.99,4,2,2,8,Require Activation
277,322,2,11,14770.22,4,4,4,12,Highly potential
278,323,36,6,4992.110000000001,3,3,2,8,Require Activation
279,324,22,5,2711.1399999999994,3,2,1,6,Loyal
280,325,134,6,7543.920000000001,1,3,3,7,Require Activation
281,326,162,3,3419.08,1,1,1,3,Require Activation
282,327,17,5,6108.209999999999,4,2,3,9,Highly potential
283,328,5,8,5739.529999999999,4,4,2,10,Highly potential
284,329,35,6,5425.24,3,3,2,8,Require Activation
285,330,108,6,8513.199999999999,1,3,4,8,Require Activation
286,331,83,6,7052.26,2,3,3,8,Require Activation
287,332,264,2,1362.46,1,1,1,3,Require Activation
288,333,23,6,5889.4,3,3,3,9,Highly potential
289,334,57,6,6125.9,2,3,3,8,Require Activation
290,335,25,2,2234.34,3,1,1,5,Promising
291,337,38,6,5855.57,3,3,2,8,Require Activation
292,339,59,5,6459.18,2,2,3,7,Require Activation
293,341,135,2,3532.9399999999996,1,1,1,3,Require Activation
294,342,94,3,1960.04,1,1,1,3,Require Activation
295,343,104,9,10377.999999999998,1,4,4,9,Highly potential
296,345,20,7,7446.1399999999985,3,3,3,9,Highly potential
297,346,13,9,8874.36,4,4,4,12,Highly potential
298,347,60,7,12360.26,2,3,4,9,Highly potential
299,348,126,6,5562.58,1,3,2,6,Loyal
300,349,167,5,4619.93,1,2,2,5,Promising
301,350,5,6,4728.13,4,3,2,9,Highly potential
302,351,12,2,2832.11,4,1,1,6,Loyal
303,352,26,6,8533.27,3,3,4,10,Highly potential
304,353,24,11,13721.089999999998,3,4,4,11,Highly potential
305,354,68,6,5392.109999999999,2,3,2,7,Require Activation
306,355,46,5,4674.0199999999995,2,2,2,6,Loyal
307,357,16,8,8779.220000000001,4,4,4,12,Highly potential
308,358,71,2,2129.82,2,1,1,4,Needs Attention
309,359,9,10,8564.63,4,4,4,12,Highly potential
310,360,9,5,6069.39,4,2,3,9,Highly potential
311,361,147,7,6592.67,1,3,3,7,Require Activation
312,362,90,4,1612.5100000000002,1,1,1,3,Require Activation
313,363,15,6,11621.14,4,3,4,11,Highly potential
314,364,12,6,6791.39,4,3,3,10,Highly potential
315,365,51,7,8188.290000000001,2,3,4,9,Highly potential
316,366,116,6,5867.110000000001,1,3,2,6,Loyal
317,367,44,5,5068.58,3,2,2,7,Require Activation
318,369,102,8,9536.349999999999,1,4,4,9,Highly potential
319,371,10,5,6859.800000000001,4,2,3,9,Highly potential
320,372,32,8,6870.42,3,4,3,10,Highly potential
321,373,224,1,1466.68,1,1,1,3,Require Activation
322,374,14,6,7756.64,4,3,3,10,Highly potential
323,375,92,4,3460.33,1,1,1,3,Require Activation
324,376,44,3,1981.8899999999999,3,1,1,5,Promising
325,377,7,11,9343.58,4,4,4,12,Highly potential
326,378,125,7,5827.91,1,3,2,6,Loyal
327,380,36,8,10261.59,3,4,4,11,Highly potential
328,381,3,8,8019.800000000001,4,4,3,11,Highly potential
329,382,36,7,6536.92,3,3,3,9,Highly potential
330,383,52,3,3922.8999999999996,2,1,1,4,Needs Attention
331,385,79,9,10758.23,2,4,4,10,Highly potential
332,386,67,5,5445.4400000000005,2,2,2,6,Loyal
333,387,32,3,5303.1,3,1,2,6,Loyal
334,389,114,6,3948.4300000000003,1,3,1,5,Promising
335,390,77,5,2855.2200000000003,2,2,1,5,Promising
336,392,102,7,8157.6,1,3,4,8,Require Activation
337,393,147,2,2728.3599999999997,1,1,1,3,Require Activation
338,394,46,8,7818.74,2,4,3,9,Highly potential
339,395,31,6,6571.34,3,3,3,9,Highly potential
340,396,30,6,6560.6900000000005,3,3,3,9,Highly potential
341,397,46,5,3791.0999999999995,2,2,1,5,Promising
342,399,50,6,7848.56,2,3,3,8,Require Activation
343,400,135,5,4266.01,1,2,2,5,Promising
344,401,30,7,7478.679999999999,3,3,3,9,Highly potential
345,402,57,6,8148.219999999999,2,3,4,9,Highly potential
346,403,57,5,4228.44,2,2,2,6,Loyal
347,404,19,8,9102.38,4,4,4,12,Highly potential
348,406,107,5,5322.950000000001,1,2,2,5,Promising
349,407,10,9,7837.83,4,4,3,11,Highly potential
350,408,18,5,5252.97,4,2,2,8,Require Activation
351,409,14,4,3610.1099999999997,4,1,1,6,Loyal
352,410,7,7,5472.9,4,3,2,9,Highly potential
353,411,188,5,5130.24,1,2,2,5,Promising
354,413,168,5,5306.63,1,2,2,5,Promising
355,414,48,6,4770.45,2,3,2,7,Require Activation
356,415,249,2,3670.0,1,1,1,3,Require Activation
357,416,89,5,4670.05,2,2,2,6,Loyal
358,417,71,7,8689.25,2,3,4,9,Highly potential
359,419,15,7,7917.429999999999,4,3,3,10,Highly potential
360,420,60,10,11080.54,2,4,4,10,Highly potential
361,421,57,6,7222.93,2,3,3,8,Require Activation
362,423,142,5,5058.62,1,2,2,5,Promising
363,424,75,7,9036.619999999999,2,3,4,9,Highly potential
364,425,26,7,10925.23,3,3,4,10,Highly potential
365,426,60,8,8616.47,2,4,4,10,Highly potential
366,427,110,4,4678.55,1,1,2,4,Needs Attention
367,428,52,8,9009.45,2,4,4,10,Highly potential
368,429,19,8,8631.57,4,4,4,12,Highly potential
369,430,66,6,7494.51,2,3,3,8,Require Activation
370,431,139,1,1289.85,1,1,1,3,Require Activation
371,432,22,8,9237.06,3,4,4,11,Highly potential
372,433,16,9,10236.83,4,4,4,12,Highly potential
373,435,103,4,5669.1,1,1,2,4,Needs Attention
374,436,51,3,3374.59,2,1,1,4,Needs Attention
375,437,49,6,5595.76,2,3,2,7,Require Activation
376,438,52,8,12777.29,2,4,4,10,Highly potential
377,439,100,5,5412.13,1,2,2,5,Promising
378,440,12,8,7773.049999999999,4,4,3,11,Highly potential
379,441,63,3,2910.7200000000003,2,1,1,4,Needs Attention
380,444,46,7,7147.110000000001,2,3,3,8,Require Activation
381,445,25,11,14593.22,3,4,4,11,Highly potential
382,446,53,8,10683.109999999999,2,4,4,10,Highly potential
383,447,1,5,6275.040000000001,4,2,3,9,Highly potential
384,448,189,4,4424.38,1,1,2,4,Needs Attention
385,449,134,6,6240.950000000001,1,3,3,7,Require Activation
386,450,83,4,5369.549999999999,2,1,2,5,Promising
387,452,25,5,3872.43,3,2,1,6,Loyal
388,455,68,3,4076.17,2,1,1,4,Needs Attention
389,456,89,5,6261.639999999999,2,2,3,7,Require Activation
390,457,116,5,6553.52,1,2,3,6,Loyal
391,458,27,5,3615.63,3,2,1,6,Loyal
392,459,39,5,6449.129999999999,3,2,3,8,Require Activation
393,461,21,8,10366.86,3,4,4,11,Highly potential
394,463,60,7,7679.469999999999,2,3,3,8,Require Activation
395,465,5,6,4766.91,4,3,2,9,Highly potential
396,467,170,6,7065.390000000001,1,3,3,7,Require Activation
397,468,95,6,7264.859999999999,1,3,3,7,Require Activation
398,469,102,10,7566.66,1,4,3,8,Require Activation
399,470,10,7,7158.48,4,3,3,10,Highly potential
400,471,49,6,6243.619999999999,2,3,3,8,Require Activation
401,472,50,5,5989.660000000001,2,2,3,7,Require Activation
402,473,116,9,12033.62,1,4,4,9,Highly potential
403,474,98,2,2107.8199999999997,1,1,1,3,Require Activation
404,476,10,4,4416.900000000001,4,1,2,7,Require Activation
405,477,36,5,5899.43,3,2,3,8,Require Activation
406,478,4,9,8880.93,4,4,4,12,Highly potential
407,481,15,2,2156.44,4,1,1,6,Loyal
408,483,41,7,8372.109999999999,3,3,4,10,Highly potential
409,484,20,5,5694.35,3,2,2,7,Require Activation
410,485,15,6,5662.31,4,3,2,9,Highly potential
411,486,92,5,7323.58,1,2,3,6,Loyal
412,487,140,2,1875.15,1,1,1,3,Require Activation
413,488,28,7,4859.099999999999,3,3,2,8,Require Activation
414,489,125,5,5450.6900000000005,1,2,2,5,Promising
415,490,54,9,9886.75,2,4,4,10,Highly potential
416,491,69,7,6140.67,2,3,3,8,Require Activation
417,492,90,4,5248.150000000001,1,1,2,4,Needs Attention
418,493,76,3,607.78,2,1,1,4,Needs Attention
419,495,129,6,6120.139999999999,1,3,3,7,Require Activation
420,496,46,4,3612.1900000000005,2,1,1,4,Needs Attention
421,498,8,7,9834.95,4,3,4,11,Highly potential
422,499,56,11,8960.43,2,4,4,10,Highly potential
423,500,25,8,9381.92,3,4,4,11,Highly potential
424,501,183,3,2476.2,1,1,1,3,Require Activation
425,502,167,4,3572.03,1,1,1,3,Require Activation
426,503,84,3,2643.58,2,1,1,4,Needs Attention
427,504,137,8,7145.669999999999,1,4,3,8,Require Activation
428,506,57,10,14208.249999999998,2,4,4,10,Highly potential
429,508,156,4,5351.73,1,1,2,4,Needs Attention
430,509,90,6,6017.45,1,3,3,7,Require Activation
431,511,12,5,4598.6900000000005,4,2,2,8,Require Activation
432,512,96,4,4233.95,1,1,2,4,Needs Attention
433,515,15,8,11033.65,4,4,4,12,Highly potential
434,516,20,10,9021.7,3,4,4,11,Highly potential
435,517,11,6,5083.11,4,3,2,9,Highly potential
436,518,262,3,3288.99,1,1,1,3,Require Activation
437,520,17,5,2566.04,4,2,1,7,Require Activation
438,521,155,2,1849.5700000000002,1,1,1,3,Require Activation
439,523,19,6,6485.21,4,3,3,10,Highly potential
440,524,139,7,6400.86,1,3,3,7,Require Activation
441,525,120,8,10372.679999999998,1,4,4,9,Highly potential
442,527,44,2,2476.84,3,1,1,5,Promising
443,528,135,7,7737.110000000001,1,3,3,7,Require Activation
444,529,13,6,6036.22,4,3,3,10,Highly potential
445,530,163,3,2816.79,1,1,1,3,Require Activation
446,531,62,5,4164.33,2,2,2,6,Loyal
447,532,29,5,5725.47,3,2,2,7,Require Activation
448,533,3,6,8210.1,4,3,4,11,Highly potential
449,534,7,8,8223.81,4,4,4,12,Highly potential
450,536,33,3,3876.2299999999996,3,1,1,5,Promising
451,537,50,3,2906.29,2,1,1,4,Needs Attention
452,538,5,7,8944.21,4,3,4,11,Highly potential
453,540,80,6,4419.63,2,3,2,7,Require Activation
454,542,39,6,6399.45,3,3,3,9,Highly potential
455,543,1,5,4605.8,4,2,2,8,Require Activation
456,544,174,4,4228.66,1,1,2,4,Needs Attention
457,545,7,6,8697.359999999999,4,3,4,11,Highly potential
458,546,38,5,7164.9,3,2,3,8,Require Activation
459,547,75,6,5913.530000000001,2,3,3,8,Require Activation
460,549,41,8,7971.78,3,4,3,10,Highly potential
461,551,153,4,3722.38,1,1,1,3,Require Activation
462,552,160,4,2960.2700000000004,1,1,1,3,Require Activation
463,553,20,6,6913.18,3,3,3,9,Highly potential
464,554,39,3,2306.3799999999997,3,1,1,5,Promising
465,555,166,4,5261.7300000000005,1,1,2,4,Needs Attention
466,556,10,5,6960.33,4,2,3,9,Highly potential
467,558,36,6,5672.88,3,3,2,8,Require Activation
468,559,7,4,4129.679999999999,4,1,2,7,Require Activation
469,560,42,6,7033.259999999999,3,3,3,9,Highly potential
470,561,29,6,5776.22,3,3,2,8,Require Activation
471,562,37,5,3686.9400000000005,3,2,1,6,Loyal
472,563,34,7,5492.75,3,3,2,8,Require Activation
473,564,12,6,7415.539999999999,4,3,3,10,Highly potential
474,565,105,10,12454.339999999998,1,4,4,9,Highly potential
475,566,53,3,2893.23,2,1,1,4,Needs Attention
476,568,92,7,5025.95,1,3,2,6,Loyal
477,569,99,4,7560.33,1,1,3,5,Promising
478,570,36,6,6987.99,3,3,3,9,Highly potential
479,571,73,3,3718.5299999999997,2,1,1,4,Needs Attention
480,572,14,6,5372.65,4,3,2,9,Highly potential
481,573,106,2,2449.81,1,1,1,3,Require Activation
482,574,278,4,4757.79,1,1,2,4,Needs Attention
483,575,249,2,1998.31,1,1,1,3,Require Activation
484,576,8,6,9475.419999999998,4,3,4,11,Highly potential
485,578,200,7,6301.1,1,3,3,7,Require Activation
486,579,53,9,10450.340000000002,2,4,4,10,Highly potential
487,580,25,5,4456.28,3,2,2,7,Require Activation
488,581,54,4,5597.1900000000005,2,1,2,5,Promising
489,583,32,4,4129.98,3,1,2,6,Loyal
490,584,133,4,3399.52,1,1,1,3,Require Activation
491,585,98,6,6998.679999999999,1,3,3,7,Require Activation
492,586,91,3,4165.02,1,1,2,4,Needs Attention
493,587,54,6,6833.5599999999995,2,3,3,8,Require Activation
494,588,20,5,6053.33,3,2,3,8,Require Activation
495,589,11,3,3259.93,4,1,1,6,Loyal
496,590,44,11,13200.689999999999,3,4,4,11,Highly potential
497,591,222,2,1083.8,1,1,1,3,Require Activation
